uID,jID,pDate,bDate,jArea
53d4d8bf43ccad834e48ee4b,55491ac68f99862a083163c5,10/5/12,10/5/12,DevOps
55099603f97d87546f42d41a,556877f0fc87d0e077f7a7d6,10/29/12,,Buildings
54e23e004540f7261752ca2f,54f6377368f8262816bb470d,8/3/12,8/10/12,HR
54d26a5d2e08b70233a6c91d,54d26ac42e08b70233a6c937,7/4/12,7/25/12,NFP
54da3e7a50dfb5e80702d597,54da412250dfb5e80702d6d9,7/10/12,,DevOps
54e906572de2cbc01226871f,54e90745b54b72b02f01233f,11/9/12,,Startups
54d3f3f0c5f46ecd0f1bd376,54ecc1622de2cbc01226ee02,7/24/12,8/20/12,HR
54f4902782367ff007e8fa7e,54f490922de2cbc012282be9,8/2/12,8/23/12,HR
54f4f2bb68f8262816baf9fd,54f4f2f868f8262816bafa14,8/2/12,8/11/12,Patents
5411f5e0d0862a93247a3538,54f0fae42de2cbc01227e8fb,7/27/12,8/12/12,DHS
54ebfad9b54b72b02f016f3f,54f64b2b018439c66807cd84,8/4/12,8/11/12,Agreements
54fe4be7f97d87546f412d9a,54fe512c0bb19ae920a8619d,8/10/12,8/19/12,Startups
54feee70f97d87546f413b3d,54fef0810bb19ae920a86dea,8/10/12,8/19/12,Patents
550c3a27c7b4f11039c28074,550c3c70149467271fddd6f4,8/20/12,,Startups
54e4fbb41f52c78b5483785a,550c7d890b5713935b6acc96,8/20/12,8/23/12,TC
55145212b8d1be39498301a9,551452d69516c92415477b01,8/26/12,8/26/12,TC
551ab40e9516c92415485303,551b07abd6657ae7070ec8bd,8/31/12,11/4/12,TC
54fff21c0bb19ae920a8b107,5500d1d5f97d87546f41aa22,8/11/12,8/11/12,DHS
5363f6402687b1e80d024442,54dbe7cb1f52c78b548250f4,7/11/12,7/11/12,DHS
5363f6402687b1e80d024442,54d90b4550dfb5e80702a8ee,7/9/12,7/9/12,DHS
54c7a6c4c5f46ecd0f194f77,5515981cd6657ae7070e0cb4,8/27/12,8/30/12,DHS
54cfc3dfc5f46ecd0f1a4321,54cfc46a2e08b70233a564da,7/2/12,7/4/12,DHS
54c7a6c4c5f46ecd0f194f77,54e3ef024540f72617530850,7/18/12,7/18/12,DHS
55072238f97d87546f4267e2,550a10070bb19ae920aa2417,8/18/12,8/19/12,Startups
54dbd0824540f72617520f6d,550b28a00bb19ae920aa4b38,8/19/12,8/19/12,Agreements
54dbd0824540f72617520f6d,550dc024e14573073a622949,8/21/12,8/23/12,Agreements
54dd4b344540f72617525f75,54ff39d0f97d87546f414d78,8/10/12,9/14/12,Agreements
510c6771ce77a7117cd6d5c4,5537d6a30234f7e6568e8df8,9/22/12,9/28/12,Patents
551aeeb0d6657ae7070ebac6,551aef209516c92415486bf0,8/31/12,9/23/12,Buildings
552ad4e80234f7e6568c286b,552ad62d8928e5212ecf0193,9/12/12,9/29/12,Patents
54ed12eeb54b72b02f01b1d7,54ed134db54b72b02f01b242,7/25/12,8/16/12,Startups
52140d8dce77a721002a1815,551f0fe89516c92415496298,9/3/12,10/13/12,Startups
551f8c7dd6657ae7070fb84a,552ff8468928e5212ed0018f,9/16/12,9/16/12,TC
553190758928e5212ed05dd3,553190ca0234f7e6568d879b,9/17/12,9/18/12,TC
55343fe38928e5212ed09860,5534426f0234f7e6568dc571,9/20/12,9/23/12,Patents
55369e098928e5212ed10fc9,55369e9b8928e5212ed10ff2,9/21/12,,DevOps
553904cf8928e5212ed19676,553905298928e5212ed19686,9/23/12,9/27/12,Agreements
54cb1a622e08b70233a50e4c,553a7da40234f7e6568f1536,9/24/12,9/24/12,TC
5363f6402687b1e80d024442,553ab0258928e5212ed1f051,9/24/12,9/24/12,DHS
553ae2908928e5212ed1fd7a,553ae2ca0234f7e6568f2dd8,9/25/12,10/11/12,Buildings
553d52840234f7e6568f5f9d,553d532b8928e5212ed22e19,9/26/12,9/30/12,TC
553058e88928e5212ed02740,5530597b8928e5212ed02769,9/17/12,9/29/12,Agreements
5363f6402687b1e80d024442,554108140234f7e656901495,9/29/12,9/29/12,DHS
5339b3dc245c7d03fcf1cc70,553142618928e5212ed04985,9/17/12,10/1/12,Patents
55380bb40234f7e6568e9ee7,553fcd610234f7e6568fcffe,9/28/12,10/2/12,DevOps
5547accf8f99862a08311cc4,5547ad468f99862a08311ce9,10/4/12,10/11/12,Buildings
5363f6402687b1e80d024442,55490bec8f99862a08315dc6,10/5/12,10/5/12,DHS
53d4d8bf43ccad834e48ee4b,554a67de8f99862a0831a864,10/6/12,10/18/12,Startups
554bba378f99862a0831e96b,554bbaea8f99862a0831e9a5,10/7/12,10/13/12,Startups
5547aa958f99862a08311bf2,554bc6b98f99862a0831ecd9,10/7/12,10/11/12,Patents
554f7d478f99862a08325b06,554f7de98f99862a08325b19,10/10/12,10/11/12,Agreements
554d0c948f99862a08322bc6,554d0d598f99862a08322c0d,10/8/12,10/19/12,Startups
53bf5a0e9ef0b78a1c75138e,55516cddfee2a02f1d419266,10/12/12,10/15/12,HR
555268ce8f99862a0832d285,55526911fee2a02f1d41c8e2,10/12/12,,Agreements
555281ccfee2a02f1d41d162,55528201fee2a02f1d41d17a,10/12/12,10/18/12,DHS
5428a67cb3cd87a412ae6252,55525f4ffee2a02f1d41c5d5,10/12/12,10/28/12,Agreements
555333828f99862a0832f8de,5553346f8f99862a0832f8fa,10/13/12,,DevOps
5552d01ffee2a02f1d41e973,5552d090fee2a02f1d41e988,10/13/12,,Startups
5553e84a8f99862a083333a1,5553e89f8f99862a083333bb,10/14/12,,Startups
5553ca4f8f99862a08332b4d,5553cb068f99862a08332b78,10/13/12,10/18/12,Patents
55072238f97d87546f4267e2,555401f18f99862a083339b9,10/14/12,10/14/12,Finance
53bf5a0e9ef0b78a1c75138e,5555fbd08f99862a0833863a,10/15/12,,Startups
55557539fee2a02f1d427571,5555760dfee2a02f1d427583,10/15/12,,NFP
555736868f99862a0833b357,55573a328f99862a0833b374,10/16/12,,Startups
5558ab8a8f99862a0833c5ff,5558b1db8f99862a0833c6ad,10/17/12,,Agreements
54f4b10a2de2cbc0122834f7,55580482fee2a02f1d42b8c1,10/17/12,10/18/12,Finance
54ec999fb54b72b02f017c7a,555a4c1afee2a02f1d42f803,10/18/12,,Agreements
55594a72fee2a02f1d42ccea,55594e8afee2a02f1d42cd72,10/18/12,,DevOps
555a317cfee2a02f1d42ece2,555a32328f99862a0833f3b3,10/18/12,,Patents
555a6f86fee2a02f1d43046d,555a70fefee2a02f1d4304c8,10/18/12,10/27/12,HR
555721478f99862a0833b2d2,555723248f99862a0833b2ea,10/16/12,,DevOps
555a453bfee2a02f1d42f5bf,555a46d5fee2a02f1d42f645,10/18/12,,DHS
55562452fee2a02f1d4287a3,555624c2fee2a02f1d4287b9,10/15/12,,HR
55585d8dfee2a02f1d42bb9b,55585dff8f99862a0833c301,10/17/12,,Startups
555ae16c8f99862a08341d36,555ae1d2fee2a02f1d43172d,10/19/12,,HR
555b874bfc87d0e077f54b6d,555b87b4fc87d0e077f54ba0,10/19/12,11/5/12,Startups
555254718f99862a0832cd23,555254e1fee2a02f1d41c37f,10/18/12,,Agreements
555b8e08e3a5da083b2d38e8,555b8e55e3a5da083b2d3904,10/19/12,,Finance
555bb079fc87d0e077f58d8a,555bb0a4e3a5da083b2d780c,10/19/12,,Finance
555d1ad9fc87d0e077f5e29d,555d1b3efc87d0e077f5e2b5,10/20/12,,Startups
555d251dfc87d0e077f5e608,555d25bce3a5da083b2dd01e,10/21/12,,DHS
555e37fde3a5da083b2df66f,555e3955fc87d0e077f60f2a,10/21/12,,DHS
555e485cfc87d0e077f61515,555e6b4bfc87d0e077f61eb8,10/21/12,10/25/12,Startups
554bba97fee2a02f1d40db89,555ea976e3a5da083b2e1373,10/22/12,,DevOps
555f9036fc87d0e077f65117,555f91afe3a5da083b2e38c4,10/22/12,,DevOps
555fb46bfc87d0e077f65bb4,555fb58efc87d0e077f65c29,10/22/12,,Buildings
55209f3c9516c924154982f5,553f9bb90234f7e6568fc1f2,9/28/12,10/23/12,Startups
555f292bfc87d0e077f6375b,555f2b0dfc87d0e077f6378b,10/22/12,,Startups
55601498e3a5da083b2e4ecc,55601666fc87d0e077f666df,10/23/12,,M&A
555f9e08fc87d0e077f65611,555f9e3de3a5da083b2e3d71,10/22/12,,NFP
55608f06fc87d0e077f66b13,55608f71e3a5da083b2e5345,10/23/12,,Startups
55609903fc87d0e077f66d78,55609966e3a5da083b2e556d,10/23/12,,Buildings
555fb940e3a5da083b2e4522,555fb9e4e3a5da083b2e45cc,10/22/12,10/25/12,Patents
555f292bfc87d0e077f6375c,555f29bde3a5da083b2e1f40,10/22/12,,Startups
553b152e0234f7e6568f346a,553b16cb8928e5212ed20430,9/25/12,10/25/12,DevOps
552bb89d0234f7e6568c36cb,555d21d9fc87d0e077f5e4cc,10/21/12,,Startups
5564b1d2fc87d0e077f6bc98,5564b5e2fc87d0e077f6bdfe,10/26/12,,Buildings
555fb8aee3a5da083b2e44e0,556462f0fc87d0e077f6a8be,10/26/12,10/26/12,Arbitration
55640c87e3a5da083b2e8fe1,55640d8efc87d0e077f6a524,10/26/12,10/28/12,HR
5564ce34e3a5da083b2eb586,5564d298fc87d0e077f6cd9f,10/26/12,,HR
5564e999e3a5da083b2ec436,5564e9e5e3a5da083b2ec448,10/26/12,,TC
55601498e3a5da083b2e4ecc,55601da4fc87d0e077f66756,10/23/12,,HR
55651f95fc87d0e077f6f106,55651fe6fc87d0e077f6f118,10/27/12,,Agreements
5561627ae3a5da083b2e62ba,5561629dfc87d0e077f67a03,10/24/12,,Startups
55651149e3a5da083b2ed6e1,556512e8fc87d0e077f6eb45,10/27/12,,DevOps
55652967fc87d0e077f6f2d2,556529fce3a5da083b2edf44,10/27/12,,TC
54fde05af97d87546f4110bf,5565d118fc87d0e077f702af,10/27/12,,HR
54e285a74540f7261752d52f,54f9f451f97d87546f40b202,8/6/12,,HR
550e51eb0b5713935b6af044,5566168afc87d0e077f72792,10/27/12,,TC
5566156de3a5da083b2f1323,55661676fc87d0e077f72778,10/27/12,,Ch11
5566158de3a5da083b2f133f,5566168ffc87d0e077f7279f,10/27/12,,DevOps
5565e837fc87d0e077f70c99,5565e860e3a5da083b2ef8dd,10/27/12,,Startups
55637a43fc87d0e077f69838,55637a79fc87d0e077f69842,10/25/12,,DHS
55666c24e3a5da083b2f3a62,55666c8bfc87d0e077f74e5c,10/28/12,,DHS
53ab1a5b67a2f7c65600b426,556709cffc87d0e077f75dbe,10/28/12,10/28/12,Agreements
55654e59fc87d0e077f6f9d9,556551bce3a5da083b2ee6ea,10/27/12,10/29/12,HR
55674df3fc87d0e077f777fa,556750c1e3a5da083b2f6474,10/28/12,,Patents
5568b739e3a5da083b2fa591,5568b7d2fc87d0e077f7bb72,10/29/12,,Startups
54cb1a622e08b70233a50e4c,5568c6fee3a5da083b2faa43,10/29/12,,Tax
555fb8aee3a5da083b2e44e0,5569a079fc87d0e077f7d620,10/30/12,,TC
55640c87e3a5da083b2e8fe1,556a52e0996ce5ed07794311,10/31/12,11/3/12,Agreements
556b4566fc87d0e077f7ef4f,556b464bfc87d0e077f7f070,10/31/12,,TC
54c7a6c4c5f46ecd0f194f77,5568530be3a5da083b2f8f1c,10/29/12,11/2/12,Agreements
556b7de3996ce5ed0779566e,556b7e25996ce5ed07795682,10/31/12,,HR
556bb19f996ce5ed07795c53,556bb244fc87d0e077f7fcf0,11/1/12,,Startups
556a812afc87d0e077f7e5bf,556a8175996ce5ed0779456b,10/31/12,,TC
5363f6402687b1e80d024442,556ccac6fc87d0e077f82b0c,11/1/12,11/1/12,DHS
55072238f97d87546f4267e2,556c9da7fc87d0e077f81a74,11/1/12,11/1/12,Finance
556c10e8fc87d0e077f803a8,556c11e2996ce5ed07796330,11/1/12,,TC
556cdd0cfc87d0e077f830e7,556cdd73fc87d0e077f83124,11/1/12,,DevOps
54a76205c5f46ecd0f16876b,556bd37f996ce5ed07796001,11/1/12,,Tax
5565dc0de3a5da083b2ef2df,5565dd39fc87d0e077f70747,10/27/12,11/2/12,Patents
55648d15fc87d0e077f6aede,55648d5fe3a5da083b2e9b28,10/26/12,,DHS
549905f73e3e776908280711,5568bb9cfc87d0e077f7bc84,10/29/12,11/3/12,Agreements
5560f49cfc87d0e077f67412,5560f5b1fc87d0e077f67421,10/23/12,11/4/12,DevOps
556a2836fc87d0e077f7dfcb,556a29e1996ce5ed07793f9b,10/30/12,11/9/12,Startups
555bd6bbe3a5da083b2d824b,555bd719e3a5da083b2d826c,10/20/12,,Agreements
54e285a74540f7261752d52f,54f89ffb0bb19ae920a7a6ae,8/5/12,,Patents
556505a0e3a5da083b2ecf7d,556506b5fc87d0e077f6e447,10/26/12,10/29/12,Patents
552213fdd6657ae7070fe3ec,555f57c3fc87d0e077f6411e,10/22/12,11/10/12,
555a325f8f99862a0833f3ca,555a329f8f99862a0833f3e6,10/18/12,,DevOps
551f2445d6657ae7070fb02d,55675892fc87d0e077f77c0f,10/28/12,,Tax
546950f53e3e7769082548db,555f7cdffc87d0e077f64d35,10/22/12,,Agreements
54adf07dc5f46ecd0f16fdc7,556c1227fc87d0e077f803db,11/1/12,,NFP
555297c58f99862a0832e62f,555298688f99862a0832e66a,10/13/12,,NFP
54e285a74540f7261752d52f,54f633fc68f8262816bb45e7,8/3/12,,Agreements
55355ddd8928e5212ed0d00f,55641649e3a5da083b2e9077,10/26/12,,Tax
54f23f9e2de2cbc012280136,54f23ff52de2cbc012280142,7/28/12,8/21/12,Buildings
5526c6ab0234f7e6568bc0b7,5526c9648928e5212ece9e8d,9/9/12,9/9/12,Patents
555a25bbfee2a02f1d42e8ab,555a26928f99862a0833ef94,10/18/12,10/22/12,Arbitration
54de3de34540f726175285e9,54de3f4d4540f72617528632,7/13/12,7/22/12,Finance
54f4bd6b82367ff007e9072c,54f4d0fe82367ff007e90f72,8/2/12,8/3/12,Startups
54cea1a62e08b70233a552c6,54cea5882e08b70233a55311,7/1/12,,Agreements
54cf1905c5f46ecd0f1a37b2,54cf1e85c5f46ecd0f1a37e3,7/2/12,7/11/12,Startups
54c1a10bc5f46ecd0f18d7da,54dbe1aa4540f72617521756,7/11/12,7/12/12,DevOps
54e8f193b54b72b02f012172,54e8f1a5b54b72b02f01217a,7/21/12,,Buildings
50edc104ce77a73398f1f3f6,54dbb51a4540f7261752055b,7/11/12,7/18/12,Agreements
54f5f24b60287a257edfb6f8,54f5f2b268f8262816bb2478,8/3/12,,Patents
54fdc8ddf97d87546f410b37,54fdc916f97d87546f410b54,8/9/12,8/27/12,DevOps
5501ff270bb19ae920a91229,550200a9f97d87546f41e255,8/12/12,8/17/12,Ch11
55021d6df97d87546f41e9b0,55021dda0bb19ae920a919b5,8/12/12,8/15/12,DevOps
5503ac5a0bb19ae920a94da7,5503b024f97d87546f421f6b,8/14/12,,DHS
5509b12af97d87546f42dd85,5509b26f0bb19ae920aa078e,8/18/12,8/27/12,DevOps
54b139efc5f46ecd0f173e3d,54ff76faf97d87546f416070,8/10/12,8/20/12,Startups
550b0f840bb19ae920aa44a0,550b10d3f97d87546f431b64,8/19/12,8/22/12,Agreements
5510e1dbe14573073a628891,5510e552e14573073a62894e,8/24/12,,Startups
55101f43e14573073a62533d,551024c7e14573073a625534,8/23/12,9/1/12,Startups
542c9a5534fdcf4b08937c70,550306280bb19ae920a92eb0,8/13/12,8/13/12,Finance
551cb5edd6657ae7070f3a03,55219508d6657ae7070fd5f6,9/5/12,9/29/12,NFP
551757e79516c9241547e697,551cb750d6657ae7070f3a4e,9/2/12,9/8/12,Startups
54b2e82ac5f46ecd0f175000,54d94ce250dfb5e80702b775,7/10/12,7/10/12,DevOps
54b48ce32e08b70233a28794,54e392af4540f7261752ee10,7/17/12,7/17/12,TC
54de47d51f52c78b5482c084,54de48381f52c78b5482c095,7/13/12,7/17/12,Agreements
54e6c0c9b54b72b02f00e52f,54eda51db54b72b02f01d1be,7/25/12,7/25/12,Patents
54ee37492de2cbc012275aea,54ee3827b54b72b02f01f3e9,7/25/12,7/28/12,DHS
55020e620bb19ae920a915af,55020ee3f97d87546f41e5a3,8/12/12,9/2/12,Patents
550ca5c1e14573073a6218d2,550ca7970b5713935b6ad4e0,8/20/12,8/24/12,Patents
55355ddd8928e5212ed0d00f,55355e6a8928e5212ed0d034,9/20/12,,Startups
552563369516c924154a2a56,5525644fd6657ae707106f94,9/8/12,9/9/12,Startups
5509c4450bb19ae920aa0ef7,551b0030d6657ae7070ec36b,8/31/12,,DevOps
552edac88928e5212ecfc179,552edddf8928e5212ecfc4a5,9/15/12,9/16/12,HR
5535c8550234f7e6568e1422,5535c99a8928e5212ed0e70d,9/21/12,9/21/12,Buildings
5509c4450bb19ae920aa0ef7,55368c060234f7e6568e36ca,9/21/12,9/22/12,Patents
5537215e8928e5212ed13779,553721a68928e5212ed137a1,9/22/12,9/29/12,TC
50edc104ce77a73398f1f3f6,55399e038928e5212ed1c908,9/24/12,9/24/12,Agreements
554025168928e5212ed2c14f,554025468928e5212ed2c160,9/29/12,10/26/12,Startups
55401dab0234f7e6568ff1bc,55401e978928e5212ed2be6a,9/28/12,10/1/12,Startups
55410f4d0234f7e6569017bf,554111e88928e5212ed2e4e0,9/29/12,10/4/12,Startups
55494ab3fee2a02f1d406483,55494b80fee2a02f1d4064d2,10/5/12,10/7/12,HR
5549985dfee2a02f1d4075ba,554999608f99862a08318525,10/6/12,10/6/12,Patents
54ee37492de2cbc012275aea,554946858f99862a0831717c,10/5/12,10/6/12,DHS
554a075bfee2a02f1d407e09,554a07ac8f99862a08318d1f,10/6/12,10/26/12,M&A
529fba5fce77a70b4816a953,554a5b9b8f99862a0831a0c3,10/6/12,10/6/12,TC
554c2974fee2a02f1d40fb3c,554c2ad18f99862a08320988,10/8/12,,Startups
5334959b245c7d29f0483bd6,55516ea68f99862a08329d55,10/12/12,10/12/12,Agreements
54f1f9aa82367ff007e8cb93,55528000fee2a02f1d41d065,10/12/12,10/14/12,Patents
555240368f99862a0832bf62,5552410bfee2a02f1d41b5d1,10/12/12,,Startups
5553dcb2fee2a02f1d42265c,5553dd78fee2a02f1d4226b7,10/13/12,,DevOps
55536f3cfee2a02f1d41f9f8,5553704afee2a02f1d41fa3e,10/13/12,,Startups
5554da838f99862a0833568d,5554db078f99862a08335769,10/14/12,10/14/12,Agreements
5554f6808f99862a08336181,5554f780fee2a02f1d4258c4,10/14/12,10/14/12,Finance
555493cb8f99862a08334560,555493ff8f99862a08334569,10/14/12,,Startups
555501b48f99862a08336648,5555032cfee2a02f1d425d75,10/14/12,,DevOps
542eafe134fdcf4b08938e36,555141f1fee2a02f1d418b6f,10/11/12,10/15/12,Startups
53fe9fef3c5e9fb157004262,55554c138f99862a08337700,10/15/12,,DevOps
5556253dfee2a02f1d4287e3,5556263e8f99862a0833900e,10/15/12,,Agreements
5466774251a18de541674ac1,55563445fee2a02f1d428d65,10/15/12,,Arbitration
5547c9c9fee2a02f1d401693,5547cb558f99862a08312682,10/4/12,10/15/12,Startups
55534df7fee2a02f1d41f1fd,55534eac8f99862a0832fc81,10/13/12,,Startups
555690338f99862a0833ad5f,555690978f99862a0833ad73,10/16/12,,DevOps
555751e8fee2a02f1d42acdb,5557522b8f99862a0833b4c8,10/16/12,,Arbitration
5557b782fee2a02f1d42b394,5557b7e78f99862a0833bb22,10/16/12,,TC
5557bd378f99862a0833bb97,5557be138f99862a0833bbc5,10/16/12,,Patents
55594bfefee2a02f1d42cd11,55594c86fee2a02f1d42cd1f,10/18/12,,Agreements
55591a068f99862a0833cffa,55591a798f99862a0833d003,10/17/12,,TC
55596716fee2a02f1d42d200,55596847fee2a02f1d42d219,10/18/12,,HR
555a357c8f99862a0833f4cc,555a35c18f99862a0833f4f4,10/18/12,,Startups
5557bd128f99862a0833bb89,5557be62fee2a02f1d42b457,10/16/12,,DevOps
5557bd378f99862a0833bb97,5557bee98f99862a0833bc15,10/16/12,,DHS
555aebeffee2a02f1d4317c3,555aedc48f99862a08341dde,10/19/12,10/20/12,Startups
555b6699e3a5da083b2d2b72,555b68ffe3a5da083b2d2c2a,10/19/12,,TC
5554132afee2a02f1d4232d3,555413d7fee2a02f1d4232ea,10/14/12,,Startups
555ca989fc87d0e077f5b17d,555ca9a7fc87d0e077f5b18e,10/20/12,,DevOps
555cbd3fe3a5da083b2da42d,555cbdd5fc87d0e077f5bb6e,10/20/12,,DevOps
555dc6bafc87d0e077f5f5e5,555dc73cfc87d0e077f5f5ef,10/21/12,,DevOps
54cbf736c5f46ecd0f1a070b,555bc422fc87d0e077f593f2,10/19/12,10/21/12,Agreements
555d6e1bfc87d0e077f5f1d5,555d6ebefc87d0e077f5f1ec,10/21/12,,HR
555e3431e3a5da083b2df4e0,555e3480e3a5da083b2df4f6,10/21/12,,Agreements
555e3431e3a5da083b2df4e0,555e3533e3a5da083b2df54a,10/21/12,10/22/12,Agreements
555df722e3a5da083b2de59c,555df7a3e3a5da083b2de5bb,10/21/12,,Startups
54ac21122e08b70233a1d294,555d21e0fc87d0e077f5e4d7,10/21/12,,HR
555f2f6bfc87d0e077f63839,555f3307e3a5da083b2e209b,10/22/12,,DHS
555b5c4efee2a02f1d432328,555f6d16fc87d0e077f6468a,10/22/12,10/22/12,TC
5558d1c9fee2a02f1d42c195,5558f4b18f99862a0833cc00,10/17/12,,TC
555e8983e3a5da083b2e0d4e,555e8a60fc87d0e077f6266f,10/22/12,10/25/12,Startups
555e599afc87d0e077f61a7e,555e59c8fc87d0e077f61a87,10/21/12,,DHS
555e8983e3a5da083b2e0d4e,55646faafc87d0e077f6a99c,10/26/12,10/26/12,Agreements
5562da84e3a5da083b2e76bf,5562dad9e3a5da083b2e76c5,10/25/12,,DHS
555e8983e3a5da083b2e0d4e,55646f5de3a5da083b2e953a,10/26/12,10/26/12,Agreements
5560ce5ffc87d0e077f671e0,5560ceb4e3a5da083b2e59de,10/23/12,,DHS
552930fa8928e5212ecee7b7,5564ccf7e3a5da083b2eb4bc,10/26/12,,TC
555e650ffc87d0e077f61d41,555e6569fc87d0e077f61d5d,10/21/12,10/27/12,TC
5564be65e3a5da083b2eae6c,5564bf3afc87d0e077f6c2e3,10/26/12,,Patents
555f65e0e3a5da083b2e2cac,555f6f97fc87d0e077f6478e,10/22/12,,Tax
5564fe42e3a5da083b2ecc18,5564fed7e3a5da083b2ecc3c,10/26/12,,TC
5564ddeefc87d0e077f6d396,5564e4f0e3a5da083b2ec2a5,10/26/12,,DevOps
5540e15a0234f7e656900a33,5563e3a0fc87d0e077f6a20e,10/26/12,10/27/12,DevOps
54d25f9ec5f46ecd0f1b8cf8,55651817e3a5da083b2eda97,10/27/12,,DHS
50edc104ce77a73398f1f3f6,55660b99fc87d0e077f71fc7,10/27/12,10/27/12,DevOps
5564d2cbfc87d0e077f6cde1,5564d43be3a5da083b2ebb3e,10/26/12,,Arbitration
55655162fc87d0e077f6fa37,55655210e3a5da083b2ee705,10/27/12,,DevOps
5509c4450bb19ae920aa0ef7,556712f7fc87d0e077f7605d,10/28/12,,R&D
5451496d51a18de541619865,55674ab1e3a5da083b2f6270,10/28/12,10/28/12,Arbitration
55678eaae3a5da083b2f7ab4,55679026e3a5da083b2f7af5,10/28/12,,TC
55678e54e3a5da083b2f7aa3,55678fddfc87d0e077f78fd4,10/28/12,,DevOps
5567974fe3a5da083b2f7ca5,556799d8e3a5da083b2f7d11,10/28/12,,Patents
55401dab0234f7e6568ff1bc,55675821fc87d0e077f77be3,10/28/12,10/29/12,Finance
55677cb2e3a5da083b2f7552,55677d2fe3a5da083b2f759a,10/28/12,10/29/12,Patents
53c41f9a0fe8bec461f9678a,556a186b996ce5ed07793e53,10/30/12,11/1/12,DevOps
55688acfe3a5da083b2f9803,55688c69e3a5da083b2f98e9,10/29/12,,Agreements
556a5b94fc87d0e077f7e3f3,556a5be3996ce5ed077943b4,10/31/12,,DevOps
556bd8f6fc87d0e077f80152,556c59fe996ce5ed0779676a,11/1/12,,TC
556c7801fc87d0e077f80d58,556c782e996ce5ed07796c9c,11/1/12,,DHS
54cf1905c5f46ecd0f1a37b2,556c7eb8996ce5ed07796e37,11/1/12,11/1/12,
556bd908996ce5ed077960aa,556bd987996ce5ed077960bf,11/1/12,,TC
5568e635fc87d0e077f7c7e4,5568e6f6996ce5ed07792866,10/29/12,11/8/12,DevOps
556a07b8996ce5ed07793cb2,556a0fa1996ce5ed07793dc4,10/30/12,,DevOps
556605a7fc87d0e077f71bbe,556cd924fc87d0e077f82faf,11/1/12,11/1/12,Agreements
55677e02fc87d0e077f78b60,556ce206fc87d0e077f8326c,11/1/12,,Startups
54e3c3861f52c78b54833668,556cef3dfc87d0e077f8368d,11/1/12,,TC
556c3114fc87d0e077f804da,556c314bfc87d0e077f804e0,11/1/12,,DevOps
5555df728f99862a0833830f,5555e0b48f99862a08338323,10/15/12,11/8/12,Agreements
55677e02fc87d0e077f78b60,556cd8aefc87d0e077f82f72,11/1/12,,TC
5529432d8928e5212ecee924,552945910234f7e6568c0eaf,9/11/12,,TC
554be5408f99862a0831f890,554be9508f99862a0831f9fc,11/10/12,,Patents
555ce3ddfc87d0e077f5cce9,555ce522e3a5da083b2db6ef,10/20/12,,DevOps
55651a90e3a5da083b2edb5e,55651adae3a5da083b2edb80,10/27/12,,DHS
551d900e9516c924154911cb,551d915cd6657ae7070f5e2f,9/2/12,9/27/12,Startups
554d33dbfee2a02f1d412b30,554d39788f99862a08323a28,10/8/12,11/11/12,DevOps
